Epi : 135, Steps : 64/4552, Reward : 41
Epi : 136, Steps : 26/4578, Reward : 3
Epi : 137, Steps : 51/4629, Reward : 28
Epi : 138, Steps : 19/4648, Reward : -1
Epi : 139, Steps : 19/4667, Reward : -1
Epi : 140, Steps : 19/4686, Reward : -1
Epi : 141, Steps : 30/4716, Reward : 7
Epi : 142, Steps : 30/4746, Reward : 7
Epi : 143, Steps : 93/4839, Reward : 70
Epi : 144, Steps : 46/4885, Reward : 23
Epi : 145, Steps : 23/4908, Reward : 0
Epi : 146, Steps : 49/4957, Reward : 26
Epi : 147, Steps : 30/4987, Reward : 7
Epi : 148, Steps : 19/5006, Reward : -1
Epi : 149, Steps : 18/5024, Reward : -1
Epi : 150, Steps : 19/5043, Reward : -1
Epi : 151, Steps : 30/5073, Reward : 7
Epi : 152, Steps : 19/5092, Reward : -1
Epi : 153, Steps : 35/5127, Reward : 12
Epi : 154, Steps : 63/5190, Reward : 40
Epi : 155, Steps : 35/5225, Reward : 12
Epi : 156, Steps : 19/5244, Reward : -1
Epi : 157, Steps : 30/5274, Reward : 7
Epi : 158, Steps : 19/5293, Reward : -1
Epi : 159, Steps : 19/5312, Reward : -1
Epi : 160, Steps : 19/5331, Reward : -1
Epi : 161, Steps : 35/5366, Reward : 12
Epi : 162, Steps : 19/5385, Reward : -1
Epi : 163, Steps : 26/5411, Reward : 3
Epi : 164, Steps : 19/5430, Reward : -1
Epi : 165, Steps : 35/5465, Reward : 12
Epi : 166, Steps : 51/5516, Reward : 28
Epi : 167, Steps : 85/5601, Reward : 62
Epi : 168, Steps : 19/5620, Reward : -1
Epi : 169, Steps : 117/5737, Reward : 94
Epi : 170, Steps : 26/5763, Reward : 3
Epi : 171, Steps : 41/5804, Reward : 18
Epi : 172, Steps : 19/5823, Reward : -1
Epi : 173, Steps : 19/5842, Reward : -1
Epi : 174, Steps : 42/5884, Reward : 19
Epi : 175, Steps : 63/5947, Reward : 40
Epi : 176, Steps : 30/5977, Reward : 7
Epi : 177, Steps : 30/6007, Reward : 7
Epi : 178, Steps : 19/6026, Reward : -1
Epi : 179, Steps : 90/6116, Reward : 67
Epi : 180, Steps : 18/6134, Reward : -1
Epi : 181, Steps : 19/6153, Reward : -1
Epi : 182, Steps : 19/6172, Reward : -1
Epi : 183, Steps : 19/6191, Reward : -1
Epi : 184, Steps : 19/6210, Reward : -1
Epi : 185, Steps : 19/6229, Reward : -1
Epi : 186, Steps : 42/6271, Reward : 19
Epi : 187, Steps : 30/6301, Reward : 7
Epi : 188, Steps : 41/6342, Reward : 18
Epi : 189, Steps : 19/6361, Reward : -1
Epi : 190, Steps : 35/6396, Reward : 12
Epi : 191, Steps : 46/6442, Reward : 23
Epi : 192, Steps : 18/6460, Reward : -1
Epi : 193, Steps : 19/6479, Reward : -1
Epi : 194, Steps : 19/6498, Reward : -1
Epi : 195, Steps : 42/6540, Reward : 19
Epi : 196, Steps : 23/6563, Reward : 0
Epi : 197, Steps : 42/6605, Reward : 19
Epi : 198, Steps : 19/6624, Reward : -1
Epi : 199, Steps : 19/6643, Reward : -1
Epi : 200, Steps : 86/6729, Reward : 63
Epi : 201, Steps : 19/6748, Reward : -1
Epi : 202, Steps : 19/6767, Reward : -1
Epi : 203, Steps : 30/6797, Reward : 7
Epi : 204, Steps : 41/6838, Reward : 18
Epi : 205, Steps : 19/6857, Reward : -1
Epi : 206, Steps : 30/6887, Reward : 7
Epi : 207, Steps : 19/6906, Reward : -1
Epi : 208, Steps : 19/6925, Reward : -1
Epi : 209, Steps : 35/6960, Reward : 12
Epi : 210, Steps : 30/6990, Reward : 7
Epi : 211, Steps : 86/7076, Reward : 63
Epi : 212, Steps : 63/7139, Reward : 40
Epi : 213, Steps : 23/7162, Reward : 0
Epi : 214, Steps : 35/7197, Reward : 12
Epi : 215, Steps : 30/7227, Reward : 7
Epi : 216, Steps : 35/7262, Reward : 12
Epi : 217, Steps : 30/7292, Reward : 7
Epi : 218, Steps : 30/7322, Reward : 7
Epi : 219, Steps : 26/7348, Reward : 3
Epi : 220, Steps : 63/7411, Reward : 40
Epi : 221, Steps : 51/7462, Reward : 28
Epi : 222, Steps : 19/7481, Reward : -1
Epi : 223, Steps : 30/7511, Reward : 7
Epi : 224, Steps : 19/7530, Reward : -1
Epi : 225, Steps : 18/7548, Reward : -1
Epi : 226, Steps : 35/7583, Reward : 12
Epi : 227, Steps : 71/7654, Reward : 48
Epi : 228, Steps : 35/7689, Reward : 12
Epi : 229, Steps : 19/7708, Reward : -1
Epi : 230, Steps : 30/7738, Reward : 7
Epi : 231, Steps : 19/7757, Reward : -1
Epi : 232, Steps : 108/7865, Reward : 85
Epi : 233, Steps : 19/7884, Reward : -1
Epi : 234, Steps : 30/7914, Reward : 7
Epi : 235, Steps : 19/7933, Reward : -1
Epi : 236, Steps : 46/7979, Reward : 23
Epi : 237, Steps : 19/7998, Reward : -1
Epi : 238, Steps : 49/8047, Reward : 26
Epi : 239, Steps : 18/8065, Reward : -1
Epi : 240, Steps : 19/8084, Reward : -1
Epi : 241, Steps : 42/8126, Reward : 19
Epi : 242, Steps : 19/8145, Reward : -1
Epi : 243, Steps : 71/8216, Reward : 48
Epi : 244, Steps : 30/8246, Reward : 7
Epi : 245, Steps : 41/8287, Reward : 18
Epi : 246, Steps : 30/8317, Reward : 7
Epi : 247, Steps : 19/8336, Reward : -1
Epi : 248, Steps : 30/8366, Reward : 7
Epi : 249, Steps : 75/8441, Reward : 52
Epi : 250, Steps : 18/8459, Reward : -1
Epi : 251, Steps : 35/8494, Reward : 12
Epi : 252, Steps : 30/8524, Reward : 7
Epi : 253, Steps : 26/8550, Reward : 3
Epi : 254, Steps : 19/8569, Reward : -1
Epi : 255, Steps : 42/8611, Reward : 19
Epi : 256, Steps : 30/8641, Reward : 7
Epi : 257, Steps : 49/8690, Reward : 26
Epi : 258, Steps : 58/8748, Reward : 35
Epi : 259, Steps : 19/8767, Reward : -1
Epi : 260, Steps : 28/8795, Reward : 5
Epi : 261, Steps : 42/8837, Reward : 19
Epi : 262, Steps : 85/8922, Reward : 62
Epi : 263, Steps : 53/8975, Reward : 30
Epi : 264, Steps : 19/8994, Reward : -1
Epi : 265, Steps : 46/9040, Reward : 23
Epi : 266, Steps : 30/9070, Reward : 7
Epi : 267, Steps : 30/9100, Reward : 7
Epi : 268, Steps : 30/9130, Reward : 7
Epi : 269, Steps : 30/9160, Reward : 7
Epi : 270, Steps : 19/9179, Reward : -1
Epi : 271, Steps : 19/9198, Reward : -1
Epi : 272, Steps : 42/9240, Reward : 19
Epi : 273, Steps : 64/9304, Reward : 41
Epi : 274, Steps : 71/9375, Reward : 48
Epi : 275, Steps : 30/9405, Reward : 7
Epi : 276, Steps : 93/9498, Reward : 70
Epi : 277, Steps : 26/9524, Reward : 3
Epi : 278, Steps : 19/9543, Reward : -1
Epi : 279, Steps : 42/9585, Reward : 19
Epi : 280, Steps : 30/9615, Reward : 7
Epi : 281, Steps : 19/9634, Reward : -1
Epi : 282, Steps : 30/9664, Reward : 7
Epi : 283, Steps : 86/9750, Reward : 63
Epi : 284, Steps : 73/9823, Reward : 50
Epi : 285, Steps : 64/9887, Reward : 41
Epi : 286, Steps : 152/10039, Reward : 129
Epi : 287, Steps : 19/10058, Reward : -1
Epi : 288, Steps : 19/10077, Reward : -1
Epi : 289, Steps : 19/10096, Reward : -1
Epi : 290, Steps : 19/10115, Reward : -1
Epi : 291, Steps : 30/10145, Reward : 7
Epi : 292, Steps : 58/10203, Reward : 35
Epi : 293, Steps : 19/10222, Reward : -1
Epi : 294, Steps : 19/10241, Reward : -1
Epi : 295, Steps : 30/10271, Reward : 7
Epi : 296, Steps : 30/10301, Reward : 7
Epi : 297, Steps : 63/10364, Reward : 40
Epi : 298, Steps : 30/10394, Reward : 7
Epi : 299, Steps : 18/10412, Reward : -1
Epi : 300, Steps : 93/10505, Reward : 70
Epi : 301, Steps : 49/10554, Reward : 26
Epi : 302, Steps : 19/10573, Reward : -1
Epi : 303, Steps : 19/10592, Reward : -1
Epi : 304, Steps : 19/10611, Reward : -1
Epi : 305, Steps : 19/10630, Reward : -1
Epi : 306, Steps : 30/10660, Reward : 7
Epi : 307, Steps : 42/10702, Reward : 19
Epi : 308, Steps : 30/10732, Reward : 7
Epi : 309, Steps : 35/10767, Reward : 12
Epi : 310, Steps : 19/10786, Reward : -1
Epi : 311, Steps : 35/10821, Reward : 12
Epi : 312, Steps : 35/10856, Reward : 12
Epi : 313, Steps : 30/10886, Reward : 7
Epi : 314, Steps : 18/10904, Reward : -1
Epi : 315, Steps : 19/10923, Reward : -1
Epi : 316, Steps : 19/10942, Reward : -1
Epi : 317, Steps : 23/10965, Reward : 0
Epi : 318, Steps : 41/11006, Reward : 18
Epi : 319, Steps : 51/11057, Reward : 28
Epi : 320, Steps : 30/11087, Reward : 7
Epi : 321, Steps : 19/11106, Reward : -1
Epi : 322, Steps : 108/11214, Reward : 85
Epi : 323, Steps : 30/11244, Reward : 7
Epi : 324, Steps : 46/11290, Reward : 23
Epi : 325, Steps : 19/11309, Reward : -1
Epi : 326, Steps : 49/11358, Reward : 26
Epi : 327, Steps : 19/11377, Reward : -1
Epi : 328, Steps : 35/11412, Reward : 12
Epi : 329, Steps : 19/11431, Reward : -1
Epi : 330, Steps : 46/11477, Reward : 23
Epi : 331, Steps : 30/11507, Reward : 7
Epi : 332, Steps : 19/11526, Reward : -1
Epi : 333, Steps : 18/11544, Reward : -1
Epi : 334, Steps : 23/11567, Reward : 0
Epi : 335, Steps : 93/11660, Reward : 70
Epi : 336, Steps : 23/11683, Reward : 0
Epi : 337, Steps : 28/11711, Reward : 5
Epi : 338, Steps : 42/11753, Reward : 19
Epi : 339, Steps : 19/11772, Reward : -1
Epi : 340, Steps : 19/11791, Reward : -1
Epi : 341, Steps : 19/11810, Reward : -1
Epi : 342, Steps : 93/11903, Reward : 70
Epi : 343, Steps : 19/11922, Reward : -1
Epi : 344, Steps : 30/11952, Reward : 7
Epi : 345, Steps : 23/11975, Reward : 0
Epi : 346, Steps : 19/11994, Reward : -1
Epi : 347, Steps : 19/12013, Reward : -1
Epi : 348, Steps : 18/12031, Reward : -1
Epi : 349, Steps : 30/12061, Reward : 7
Epi : 350, Steps : 19/12080, Reward : -1
Epi : 351, Steps : 30/12110, Reward : 7
Epi : 352, Steps : 30/12140, Reward : 7
Epi : 353, Steps : 46/12186, Reward : 23
Epi : 354, Steps : 19/12205, Reward : -1
Epi : 355, Steps : 18/12223, Reward : -1
Epi : 356, Steps : 19/12242, Reward : -1
Epi : 357, Steps : 41/12283, Reward : 18
Epi : 358, Steps : 19/12302, Reward : -1
Epi : 359, Steps : 46/12348, Reward : 23
Epi : 360, Steps : 51/12399, Reward : 28
Epi : 361, Steps : 63/12462, Reward : 40
Epi : 362, Steps : 19/12481, Reward : -1
Epi : 363, Steps : 19/12500, Reward : -1
Epi : 364, Steps : 26/12526, Reward : 3
Epi : 365, Steps : 30/12556, Reward : 7
Epi : 366, Steps : 18/12574, Reward : -1
Epi : 367, Steps : 18/12592, Reward : -1
Epi : 368, Steps : 19/12611, Reward : -1
Epi : 369, Steps : 19/12630, Reward : -1
Epi : 370, Steps : 18/12648, Reward : -1
Epi : 371, Steps : 23/12671, Reward : 0
Epi : 372, Steps : 19/12690, Reward : -1
Epi : 373, Steps : 42/12732, Reward : 19
Epi : 374, Steps : 19/12751, Reward : -1
Epi : 375, Steps : 30/12781, Reward : 7
Epi : 376, Steps : 46/12827, Reward : 23
Epi : 377, Steps : 19/12846, Reward : -1
Epi : 378, Steps : 63/12909, Reward : 40
Epi : 379, Steps : 41/12950, Reward : 18
Epi : 380, Steps : 18/12968, Reward : -1
Epi : 381, Steps : 19/12987, Reward : -1
Epi : 382, Steps : 30/13017, Reward : 7
Epi : 383, Steps : 26/13043, Reward : 3
Epi : 384, Steps : 18/13061, Reward : -1
Epi : 385, Steps : 26/13087, Reward : 3
Epi : 386, Steps : 71/13158, Reward : 48
Epi : 387, Steps : 19/13177, Reward : -1
Epi : 388, Steps : 19/13196, Reward : -1
Epi : 389, Steps : 28/13224, Reward : 5
Epi : 390, Steps : 26/13250, Reward : 3
Epi : 391, Steps : 19/13269, Reward : -1
Epi : 392, Steps : 19/13288, Reward : -1
Epi : 393, Steps : 35/13323, Reward : 12
Epi : 394, Steps : 19/13342, Reward : -1
Epi : 395, Steps : 26/13368, Reward : 3
Epi : 396, Steps : 26/13394, Reward : 3
Epi : 397, Steps : 19/13413, Reward : -1
Epi : 398, Steps : 19/13432, Reward : -1
Epi : 399, Steps : 23/13455, Reward : 0
Epi : 400, Steps : 19/13474, Reward : -1
Epi : 401, Steps : 23/13497, Reward : 0
Epi : 402, Steps : 19/13516, Reward : -1
Epi : 403, Steps : 18/13534, Reward : -1
Epi : 404, Steps : 30/13564, Reward : 7
Epi : 405, Steps : 19/13583, Reward : -1
Epi : 406, Steps : 71/13654, Reward : 48
Epi : 407, Steps : 51/13705, Reward : 28
Epi : 408, Steps : 28/13733, Reward : 5
Epi : 409, Steps : 19/13752, Reward : -1
Epi : 410, Steps : 18/13770, Reward : -1
Epi : 411, Steps : 46/13816, Reward : 23
Epi : 412, Steps : 41/13857, Reward : 18
Epi : 413, Steps : 26/13883, Reward : 3
Epi : 414, Steps : 35/13918, Reward : 12
Epi : 415, Steps : 19/13937, Reward : -1
Epi : 416, Steps : 19/13956, Reward : -1
Epi : 417, Steps : 19/13975, Reward : -1
Epi : 418, Steps : 71/14046, Reward : 48
Epi : 419, Steps : 19/14065, Reward : -1
Epi : 420, Steps : 30/14095, Reward : 7
Epi : 421, Steps : 58/14153, Reward : 35
Epi : 422, Steps : 41/14194, Reward : 18
Epi : 423, Steps : 19/14213, Reward : -1
Epi : 424, Steps : 19/14232, Reward : -1
Epi : 425, Steps : 19/14251, Reward : -1
Epi : 426, Steps : 19/14270, Reward : -1
Epi : 427, Steps : 19/14289, Reward : -1
Epi : 428, Steps : 49/14338, Reward : 26
Epi : 429, Steps : 19/14357, Reward : -1
Epi : 430, Steps : 19/14376, Reward : -1
Epi : 431, Steps : 42/14418, Reward : 19
Epi : 432, Steps : 19/14437, Reward : -1
Epi : 433, Steps : 19/14456, Reward : -1
Epi : 434, Steps : 19/14475, Reward : -1
Epi : 435, Steps : 41/14516, Reward : 18
Epi : 436, Steps : 35/14551, Reward : 12
Epi : 437, Steps : 30/14581, Reward : 7
Epi : 438, Steps : 18/14599, Reward : -1
Epi : 439, Steps : 30/14629, Reward : 7
Epi : 440, Steps : 64/14693, Reward : 41
Epi : 441, Steps : 19/14712, Reward : -1
Epi : 442, Steps : 28/14740, Reward : 5
Epi : 443, Steps : 42/14782, Reward : 19
Epi : 444, Steps : 73/14855, Reward : 50
Epi : 445, Steps : 19/14874, Reward : -1
Epi : 446, Steps : 30/14904, Reward : 7
Epi : 447, Steps : 30/14934, Reward : 7
Epi : 448, Steps : 30/14964, Reward : 7
Epi : 449, Steps : 23/14987, Reward : 0
Epi : 450, Steps : 30/15017, Reward : 7
Epi : 451, Steps : 23/15040, Reward : 0
Epi : 452, Steps : 19/15059, Reward : -1
Epi : 453, Steps : 68/15127, Reward : 45
Epi : 454, Steps : 49/15176, Reward : 26
Epi : 455, Steps : 19/15195, Reward : -1
Epi : 456, Steps : 19/15214, Reward : -1
Epi : 457, Steps : 26/15240, Reward : 3
Epi : 458, Steps : 42/15282, Reward : 19
Epi : 459, Steps : 19/15301, Reward : -1
Epi : 460, Steps : 18/15319, Reward : -1
Epi : 461, Steps : 18/15337, Reward : -1
Epi : 462, Steps : 42/15379, Reward : 19
Epi : 463, Steps : 19/15398, Reward : -1
Epi : 464, Steps : 30/15428, Reward : 7
Epi : 465, Steps : 26/15454, Reward : 3
Epi : 466, Steps : 18/15472, Reward : -1
Epi : 467, Steps : 42/15514, Reward : 19
Epi : 468, Steps : 18/15532, Reward : -1
Epi : 469, Steps : 18/15550, Reward : -1
Epi : 470, Steps : 35/15585, Reward : 12
Epi : 471, Steps : 18/15603, Reward : -1
Epi : 472, Steps : 152/15755, Reward : 129
Epi : 473, Steps : 19/15774, Reward : -1
Epi : 474, Steps : 19/15793, Reward : -1
Epi : 475, Steps : 28/15821, Reward : 5
Epi : 476, Steps : 19/15840, Reward : -1
Epi : 477, Steps : 23/15863, Reward : 0
Epi : 478, Steps : 35/15898, Reward : 12
Epi : 479, Steps : 19/15917, Reward : -1
Epi : 480, Steps : 18/15935, Reward : -1
Epi : 481, Steps : 18/15953, Reward : -1
Epi : 482, Steps : 41/15994, Reward : 18
Epi : 483, Steps : 26/16020, Reward : 3
Epi : 484, Steps : 49/16069, Reward : 26
Epi : 485, Steps : 85/16154, Reward : 62
Epi : 486, Steps : 18/16172, Reward : -1
Epi : 487, Steps : 30/16202, Reward : 7
Epi : 488, Steps : 18/16220, Reward : -1
Epi : 489, Steps : 41/16261, Reward : 18
Epi : 490, Steps : 18/16279, Reward : -1
Epi : 491, Steps : 19/16298, Reward : -1
Epi : 492, Steps : 73/16371, Reward : 50
Epi : 493, Steps : 30/16401, Reward : 7
Epi : 494, Steps : 23/16424, Reward : 0
Epi : 495, Steps : 93/16517, Reward : 70
Epi : 496, Steps : 19/16536, Reward : -1
Epi : 497, Steps : 49/16585, Reward : 26
Epi : 498, Steps : 30/16615, Reward : 7
Epi : 499, Steps : 42/16657, Reward : 19
Epi : 500, Steps : 19/16676, Reward : -1
Epi : 501, Steps : 41/16717, Reward : 18
Epi : 502, Steps : 19/16736, Reward : -1
Epi : 503, Steps : 23/16759, Reward : 0
Epi : 504, Steps : 30/16789, Reward : 7
Epi : 505, Steps : 19/16808, Reward : -1
Epi : 506, Steps : 23/16831, Reward : 0
Epi : 507, Steps : 19/16850, Reward : -1
Epi : 508, Steps : 19/16869, Reward : -1
Epi : 509, Steps : 46/16915, Reward : 23
Epi : 510, Steps : 19/16934, Reward : -1
Epi : 511, Steps : 19/16953, Reward : -1
Epi : 512, Steps : 18/16971, Reward : -1
Epi : 513, Steps : 190/17161, Reward : 167
Epi : 514, Steps : 51/17212, Reward : 28
Epi : 515, Steps : 35/17247, Reward : 12
Epi : 516, Steps : 23/17270, Reward : 0
Epi : 517, Steps : 64/17334, Reward : 41
Epi : 518, Steps : 85/17419, Reward : 62
Epi : 519, Steps : 19/17438, Reward : -1
Epi : 520, Steps : 19/17457, Reward : -1
Epi : 521, Steps : 18/17475, Reward : -1
Epi : 522, Steps : 23/17498, Reward : 0
Epi : 523, Steps : 18/17516, Reward : -1
Epi : 524, Steps : 18/17534, Reward : -1
Epi : 525, Steps : 26/17560, Reward : 3
Epi : 526, Steps : 18/17578, Reward : -1
Epi : 527, Steps : 68/17646, Reward : 45
Epi : 528, Steps : 46/17692, Reward : 23
Epi : 529, Steps : 35/17727, Reward : 12
Epi : 530, Steps : 146/17873, Reward : 123
Epi : 531, Steps : 42/17915, Reward : 19
Epi : 532, Steps : 18/17933, Reward : -1
Epi : 533, Steps : 26/17959, Reward : 3
Epi : 534, Steps : 18/17977, Reward : -1
Epi : 535, Steps : 58/18035, Reward : 35
Epi : 536, Steps : 18/18053, Reward : -1
Epi : 537, Steps : 18/18071, Reward : -1
Epi : 538, Steps : 35/18106, Reward : 12
Epi : 539, Steps : 18/18124, Reward : -1
Epi : 540, Steps : 41/18165, Reward : 18
Epi : 541, Steps : 49/18214, Reward : 26
Epi : 542, Steps : 23/18237, Reward : 0
Epi : 543, Steps : 18/18255, Reward : -1
Epi : 544, Steps : 23/18278, Reward : 0
Epi : 545, Steps : 19/18297, Reward : -1
Epi : 546, Steps : 41/18338, Reward : 18
Epi : 547, Steps : 49/18387, Reward : 26
Epi : 548, Steps : 26/18413, Reward : 3
Epi : 549, Steps : 30/18443, Reward : 7
Epi : 550, Steps : 18/18461, Reward : -1
Epi : 551, Steps : 19/18480, Reward : -1
Epi : 552, Steps : 49/18529, Reward : 26
Epi : 553, Steps : 30/18559, Reward : 7
Epi : 554, Steps : 19/18578, Reward : -1
Epi : 555, Steps : 53/18631, Reward : 30
Epi : 556, Steps : 19/18650, Reward : -1
Epi : 557, Steps : 26/18676, Reward : 3
Epi : 558, Steps : 19/18695, Reward : -1
Epi : 559, Steps : 28/18723, Reward : 5
Epi : 560, Steps : 30/18753, Reward : 7
Epi : 561, Steps : 28/18781, Reward : 5
Epi : 562, Steps : 18/18799, Reward : -1
Epi : 563, Steps : 18/18817, Reward : -1
Epi : 564, Steps : 41/18858, Reward : 18
Epi : 565, Steps : 23/18881, Reward : 0
Epi : 566, Steps : 49/18930, Reward : 26
Epi : 567, Steps : 19/18949, Reward : -1
Epi : 568, Steps : 28/18977, Reward : 5
Epi : 569, Steps : 18/18995, Reward : -1
Epi : 570, Steps : 18/19013, Reward : -1
Epi : 571, Steps : 18/19031, Reward : -1
Epi : 572, Steps : 49/19080, Reward : 26
Epi : 573, Steps : 35/19115, Reward : 12
Epi : 574, Steps : 26/19141, Reward : 3
Epi : 575, Steps : 51/19192, Reward : 28
Epi : 576, Steps : 19/19211, Reward : -1
Epi : 577, Steps : 42/19253, Reward : 19
Epi : 578, Steps : 85/19338, Reward : 62
Epi : 579, Steps : 51/19389, Reward : 28
Epi : 580, Steps : 93/19482, Reward : 70
Epi : 581, Steps : 18/19500, Reward : -1
Epi : 582, Steps : 18/19518, Reward : -1
Epi : 583, Steps : 18/19536, Reward : -1
Epi : 584, Steps : 19/19555, Reward : -1
